GId,GName,MiddleId,MiddleName,ExitId,ExitName
421E1DB7C2E7FA5654846460C1363AEAC102ADA6, arnecloud, 87EA8B42136D1F9014BE377B2B985459D19E6E70, wheel, 609E598FB6A00BCF7872906B602B705B64541C50, niftychipmunk
9684C4D6C71131EEEF2E5C23C3EA234A684CD501, laeviculus, 227BC4927EA57909A2355E3088B8DE8B2EAC43D5, PataquetsDockerTor, AC66347EB02E4C67A9BE46D90176D7BA029D6E1B, Unnamed
3D9CE80399B68C01377FEC42395E399B9ED16E18, megatot, AE9B4F3B133CF4FC75BD0685F047EA4253C49B09, useallmybantha, 7327876AE79C997DFE311A7B15B4FA875736BBD1, F3Netze
3033FD18BBD658C5ECE926FB17D2269BFE337358, sagfreundtrittein, 29680F2C9B62C99771875BE7AF161E97FE9E29CA, nodvrelay16, 7761DDC7EB1BE26D4155F74A15F12C32A36FE0F2, CalyxInstitute09
6C64AE6D7EFDA52A463FB6ADCDAE2D2DDE0677C3, niftyhornedgopher, BE9B12FAAB7429842D643E2308390ECD8961E0A1, fuckdaP0P0, ED4325A6DB8D579CFF70F5A5630FD368464B0D64, BungeeNet1
198F12E2DEFBE6BEEBC38B2FEDD615AECB38DA7A, MakeTorGreatAgain, AEA8C3366E0FA2DE560E66C3B7A46C509CFF9890, troisi, 9B816A5B3EB20B8E4E9B9D1FBA299BD3F40F0320, niftypygmyjerboa
E809D9909868F3F19C43361CBD27BFFDC4CF4E73, TonyStarkDied, E130296683B896A117CE5DA531A5645644178734, legoman, 4031460683AE9E0512D3620C2758D98758AC6C93, niftyeuropeanrabbit
4BC874C290A1438E9FF3C684F1CAC2AC351A12EB, orwell1, 49CA9262801E9DC9B414A143A58A68255149367A, r00tzone, 2A1353D8549453E9ED8F5C27F2869DFB01BF9522, Fantasia
163303F0583A1917326214379BD1AB2D286046EA, Piratenpartei01, 45D81A594C458BAA2AFADADC507B6C784EB68D63, BlackLabsHelpTor, 3994E734DCD794479D1A60F4ABD3FC91CAA395EE, PinkiePieParty
2E72EEABE4EE19183BEFAA10D88B3C16829C9F99, znxpar01, 3DC748C2DFF1F8E9DA5626BB3CBAAFF31D706C10, Fussy, DE847D94E78B2E560AB87D272DC90192D3144F17, kohlrabi
95FA758717D185CBC1D5EE992AAE084AD041927D, flowjob01, 8E39881472946D5BBE41765470D9E3099A0EB4C7, don, C545ED3BE029B226D74B3F798235951D2FEEE3E1, Echalote
410118E874D2263F1CDCD567F81875A8E38B2B3C, W0LFF, AD0FCFD83EA4899DB34735E599701592DEA13690, torbogen, 135F2A8B32F583845F2B0E133EFD84C25026761B, niftyjubilex
16324C89132BE14F19E13FD6EB3226FC5AE3F059, BucketOfBits, DA506FF88E4C681BBAAE6F54ED42821516BECABF, hsalc, 187F8A47281BB0FA5220F2AB093FB15D2E04C7E7, king
44DF1007B545B4D8057F279025EBB33CF99BE227, Kroell, E00DFD54DC165D5452FBD3530D30186DAD016A0C, despacitor, 14877C6384A9E793F422C8D1DDA447CACA4F7C4B, niftywoodmouse
BD552C165E2ED2887D3F1CCE9CFF155DDA2D86E6, Schakalium, 22775B953E662151549C114CB8EE5FBDBCBDAD02, fruitybooty, 906DCB390F2BA987AE258D745E60BAAABAD31DE8, niftyquokka
EAA088440B100FF8407266B5D4853FFB16A8CB67, sorrytorrey, D58DA32A978FEADC1261B5A8763126F3E92B0849, bauruine31, A478E421F83194C114F41E94F95999672AED51FE, DFRI4
43C83536DACCD110FF11E049A890064F6F87BEB2, Unnamed, E459E02374D0385D2E2515CBBE707EA208966BCF, AsiaArgento, 8138DB4F12569D03A35771E4C81A150A7003135C, king
846B3EAAF0C07FF72FC79AEBB11FA3ADC58F240F, dc6jgk5b, F741E5124CB12700DA946B78C9B2DD175D6CD2A1, rofltor06, 0B25110BA3473A6DC04AB58A3A0D5E4D6922A0E0, colosimo
85A3AC041E3FCD796AF5D653953D5E27A56E3719, niftycongogerbil, F15A2A08BF91017DCFB6042171635661E13A8256, WitchNode, E8AD8C4FDC3FE152150C005BB2EAA6A0990B74DF, F3Netze
DC9564AE8BC7BF5F722E3677C897ED1B578C8D81, N1nj4, AC6A78BAE7BBCAC798C7AD17460147214F9EA0CD, TWCUGRelayNode, 3DE567C1350C0E858C6147AECB06EA9B3EAF3261, sonsorolDotNet
7202A9449EC084A305EB19A2A2A0E245FA8C111E, jonasBebe2, 5A97AF1B7D395D72794AB75E10F989E60A5BC785, tor0dehetzner9001, 46F9FB943917858F618F2648595DEACD931D4400, runesandrelics
F9E32D4058F7F35E9BC4F1D8C3B2DAA0C4466660, KagamineLenTwilight, 65EE8924AC3D8A6B7A88E823D2F3527BB773EC8E, colossal, 1FA4520950EFCA5233BEFB9290EA42690BEC9339, AZUREPHOENIX
96275921105DC2D41B79AD75804A301738B51E47, Assange015lt, 656C60B5FC9810BECA159B9BFF0AB999883ADF02, mhgngq5364v9ny85y, 8EB7FB191091F7BF85965A7E801BD3625FBE832D, ECHELON
A5AF5D1904550DD27B1C50872D9496C73D916AEE, AutonomyCube, F7A5C96BBCBB11C72B6FA88AB7FC32CEDB991C43, ponttor, 6D94BA30E2A0DA5469142286040A9A9AA24941D8, king
EBB50442D1D826DBE9C61A9EE5E0A2CE44DD989A, Venom13, 5D2A8CAA119D0528722C2438350FAB0C8DE01AB7, theark, 6F5BA1D3C5DE761D4742519DF539ED2B89B233CF, Grexit
79509683AB4C8DDAF90A120C69A4179C6CD5A387, DerDickeReloaded, D8C80A5F43C650C98640A5C2E1590949CC96A47B, iiiq, 706B1ED9AF5CCAC90AD488AE2691B358FA598CBB, SSA8MyBZYXduYm94
201A38EB5484A1407436125753A316C81EF50678, freiundwunderbar, D58DA32A978FEADC1261B5A8763126F3E92B0849, bauruine31, 67A4CFB98708FF2B4A72D6A8EFB0B6D0A930F73C, troy
9738F8F5C386CDAF5707D0DCED428F2813CA285F, Sandtler, D210BF09162062C05E931F71BAECD93DD9102F1C, StopFossilFuels, 6796E53160714D908B39BCB0058CF488FF940336, niftyfrazUrbluu
599A708756048993A1029B2775EEF8C9E40BB640, FalkensteinTor03, A69221A7EC7498D2F88A0FB795261013FA36CAAE, Truie, 3E50CBCA98A20F637BC4551FD4F132D062DB9A51, RSF12thMarch
DB2682153AC0CCAECD2BD1E9EBE99C6815807A1E, GermanCraft2, 104DC15ACFA69CF94F89E8ED0F6CDB2D298234D2, vger258, 06804E6383EE94E83C9453F39B1E524C272D6D84, paradeiser
973B219FDAC30873212D866568B30C44D57B32E5, NikowskiThirdNode, 9CA59BFA8D1093E42A202164DA93DE8A7E52166A, cultdeadcow, 97E08C15F50A7383E0C8C56E37D79313C4303E78, insane2
73DCA56424912F69F1478D6630DF27CFE8F41439, notem2, F7F07D20223688047CD05F59CB2469C4D38B88BB, snap277, 615ABEA2DE76EB3760BC51E7306BAA59F15CD8F2, Cloud
D123C0F8F562804693C47D68C61786023B295E98, bmwanon3, 8F5ACB40B42628045E6D8CA4CB103CDAEB112A3E, Martell, 2B31FB827D4CEA734B9F78C16137CFD6F8AEBB7B, MrTerence
24E1C6412183972BFD76D838AC04D1ED261743D3, niftymastomys, 3CCA722A0DB4E676B96109D61C4E9DCF2F0009EB, 1EpHny, BCEDF6C193AA687AE471B8A22EBF6BC57C2D285E, gurgle
C1B79C4CD9B713BBB6B0522155B46A7BFE3BFAAE, fuckcensorchip, 7D31D5118D47BF86C550ABB79EDDE865EC31B67F, 21b, 7327876AE79C997DFE311A7B15B4FA875736BBD1, F3Netze
2EB3C230180694A1E848001E20F36F76A2287039, Alastor, CAC1EEB324F8CEDAE9C432E99CE8F42DDF4CB490, Heimdall, DC2191663DD4BAECB34F949CCAC3FDA004CE5BCE, artikel5ev2
247584DF498F5F99986C062760F30E1423F57714, flowjob03, CA42D95947FFE5FDBDA51139FAF809B4352EFFEC, privacy4every1, 0D12D8E72DED99EE31BB0C57789352BED0CEEEFF, sellerie
7FA3FA525901A91A1310B817943668BC2C16289E, Nisos, 62A60158A2C302E3DA792D7A4F5339F41321E5D9, Snowflake, EDC4243F57F9B856B400398D5F6C354F8408EEA9, niftyjunipervole
DEA98B7F9BA8B7F8A098D3939A6FE446084B48E7, sparadra911, C8F402FDF89E5B51D862AD68D8C17DFA5A371BA0, Assange003ru, F47B13BFCE4EF48CDEF6C4D7C7A99208EBB972B5, Elenagb
35513B1D2EA70649346C3C6D34F63D6982E3948A, Free, 861BCFDD148973985E7FE97C7455C9E4AC4E13BE, itomori, 530277866466A1425F43A73DBFCB5FC7410C9852, spargel
C013F6A7A2297FA4CD00D05EF4A1C5222B844B25, Hydra7, 3F43D0584A2613C9DB631382FF486DC6B95EA1C8, arbitraryTessa2, 40E7D6CE5085E4CDDA31D51A29D1457EB53F12AD, Quintex12
4CD4DFFEF3971C902A22100D911CAC639BE2EF5C, henkdefreumel, 0F977B4D6EBEECD578AC838A5FDDC81B636060A7, slalix, D8BD437B3165203E890D0DB57DF2AC128C95B3B4, dfiusec
2269C9905B04530E251186FAD6F56033654E5C99, BizNasty, A1B7C1F83E5DA4376FD2E1DBA7AC28A71AB332AD, arnall, 8E38B11E849336D62AB6264FBAE9B03C70F07863, F3Netze
CACD9D63B759B35555D8C965A3E01071E9DFB44C, Unnamed, 0D8502B8D99AC5C6CEA36D7DBFF0C7F2FBAC0ED9, granby, F68A76522D356F89BEC286889A3822250567BE2E, CalyxInstitute16
EACAE83C60CDAE10DF5A336B34110DB07D150357, ULayerSnowden, 67CDF7A4D06E98E55AAE595BBEBF38E64C4CCBF3, khao, DFAA86AD46BEA875D5018CC1CECD77C9F979FB0E, niftywabbit
B91A1EB30E66D52026EFCD1E96BFC0E966C83E6D, Assange008fr2, 11C3D14A1166AEDED6D247A32DE6451F6C95223A, Unnamed, E480D577F58E782A5BC4FA6F49A6650E9389302F, Quintex34
1C70C2AA7F3772CE07C4EF6B18A6E330150372EE, ILoveMyBMW, CD39C258265B25EAA4ABA4FDCB2DF98104CAA362, normaray, EDC4243F57F9B856B400398D5F6C354F8408EEA9, niftyjunipervole
8A5E7C2D09835974B4D58252BAD51FD8AD54F9CE, prudelta, F0C9513539800F762ECAE37F16370D7CBA5E52C2, Scrubs, 76AB50C3EC0472A63AFB9A833A535FA6BD691478, niftylolth
1B9C26C1DAB190EAD3EBADB70914E0949ADC2588, sqrrm, 4B351545DD58473F36B0A20E5500AC6ED51E8CD5, idideditheconfig, C2DA5A04CBE2A64961C8DE8D03E58D9CF48A73A6, RunningOnFumes3
51E1CF613FD6F9F11FE24743C91D6F9981807D82, torpidsDEisppro3, 13557448AD1632BF080757C2FF7769BB23DF1DF3, bauruine11, 5D96F61FED26C299093B4B0409ED3A18765A6DB2, HobGoblin
;
198F12E2DEFBE6BEEBC38B2FEDD615AECB38DA7A, MakeTorGreatAgain, 987D0706D42070F1E2142A9FCCB56B3887808D34, bolard, 98F793C7320CE3C15A45353AFCC165747A40366D, F3Netze
2F09BD6D9A2D5A7D6D26C17651CE8ECF0B7BA257, TOR2DFN01b, AC5CECEF6AF649F2A7F047D102FE9B461DA9234E, daporkchop, 3994E734DCD794479D1A60F4ABD3FC91CAA395EE, PinkiePieParty
F6691E3EB7CAB3C876AAA885E6801B63DC998C39, anotherRelay, 2269C9905B04530E251186FAD6F56033654E5C99, BizNasty, DB6ADA8153DF6B148B1A8843B486E20354499650, Artikel10Exit01
E384748293FC4429E2B427360DB4F9D4C3D619D1, PXArelay02, 98867F5242505A2DD581C85B1CE256090B87F138, Piratenpartei03, 50B787A9FB21417BFD7B5067707DBF82D71DB11C, niftydiatomys
13557448AD1632BF080757C2FF7769BB23DF1DF3, bauruine11, 0A7208B8903DD3FF5CDFA218A3823AF498CE69CE, FalkensteinTor02, 135F2A8B32F583845F2B0E133EFD84C25026761B, niftyjubilex
EBCBB6E003062FC12AE343844B2113AC959C69B3, Unnamed, 7A6EC43FD4CD5990230FCE48EC37AFC578E36CE6, cryzrelay03, BAF223E9DF62D3261F1675C6CFC4E5D50F15FA57, darkwizard
E459E02374D0385D2E2515CBBE707EA208966BCF, AsiaArgento, B25427A8F4A485E03EDA31757AB1C33DBE587428, DefinitelyNotTheFBI, 7327876AE79C997DFE311A7B15B4FA875736BBD1, F3Netze
